,index,Date,spx,dax,ftse,nikkei,spx_norm,dax_norm,ftse_norm,nikkei_norm,spx_ret,ftse_ret,dax_ret,nikkei_ret,spx_ret_norm,ftse_ret_norm,dax_ret_norm,nikkei_ret_norm,spx_vol,dax_vol,ftse_vol,nikkei_vol
616,616,1996-05-17,668.9099731445312,2552.2900390625,3789.60009765625,21916.599609375,143.1987455336225,114.93540903943622,111.36056707776227,120.92577686914385,0.610663714775006,0.9590792589353914,0.7058924166705394,-1.0412657773287592,102.60912112202033,75.9010864687704,362.84745150101867,50325104007.935455,0.3729101725428099,0.49828410391297434,0.9198330249200595,1.0842344190360653
617,617,1996-05-20,673.1500244140625,2541.97998046875,3778.199951171875,21979.0,144.10644619166598,114.47112371780072,111.02556424248824,121.27007369656037,0.633874727506134,-0.30082716356867323,-0.4039532512353894,0.2847174823520815,106.50924087544398,-23.807321805213768,-207.64270060818893,-13760595252.639431,0.4017971701709757,0.1631782291836416,0.09049698234077327,0.08106404475690784
618,618,1996-05-21,672.760009765625,2564.1201171875,3789.39990234375,22091.740234375,144.02295273120308,115.46814428796024,111.35468417113576,121.89212276754739,-0.05793874088870776,0.2964361684563821,0.8709799797348206,0.5129452403430657,-9.735379944258138,23.459820494350357,447.7068438357942,-24791002578.47998,0.003356897695768817,0.7586061250988684,0.08787440196910054,0.2631128195906054
619,619,1996-05-22,678.4199829101562,2548.7900390625,3764.199951171875,21958.0,145.23462707691615,114.77779610145453,110.61416253810977,121.15420529728709,0.8413064186890473,-0.6650116593999167,-0.597868954041636,-0.605385691467164,141.3637491918176,-52.62871341716069,-307.3205224796136,29258714298.82007,0.7077964901273905,0.35744728620683985,0.4422405071378308,0.3664918354331763
620,620,1996-05-23,676.0,2546.550048828125,3747.0,21724.080078125,144.7165625676996,114.67692426091449,110.10872759330003,119.86354211129706,-0.3567086717840229,-0.45693510958471073,-0.08788445497844855,-1.0653061384233498,-59.93734754953851,-36.16163204457595,-45.174944173354724,51486991490.28149,0.12724107652592176,0.007723677426858949,0.2087896943711916,1.1348771685624692
621,621,1996-05-24,678.510009765625,2549.530029296875,3752.10009765625,21798.4296875,145.25389982404963,114.81111954000242,110.25859822674846,120.27376926486258,0.3713032197670163,0.1361114933613461,0.11702029850626516,0.3422451450538766,62.389652648851424,10.771800276945566,60.15154162890567,-16540947466.104332,0.13786608100935321,0.013693750262495405,0.01852633862505576,0.11713173931294904
622,622,1996-05-27,678.510009765625,2549.530029296875,3752.10009765625,21699.759765625,145.25389982404963,114.81111954000242,110.25859822674846,119.7293537456208,0.0,0.0,0.0,-0.45264692590026856,0.0,0.0,0.0,21876742826.640587,0.0,0.0,0.0,0.20488923952696322
623,623,1996-05-28,672.22998046875,2559.14990234375,3760.199951171875,21944.529296875,143.90948524909666,115.24432424112491,110.49661919400162,121.07988011594522,-0.9255617760221768,0.21587519801735677,0.37731946422800977,1.1279826776596114,-155.521079906906,17.084262764024718,193.95222666170494,-54516192511.38297,0.8566646012333262,0.14236997808531235,0.046602101119033,1.2723449211001467
624,624,1996-05-29,667.9299926757812,2548.530029296875,3775.699951171875,22021.5,142.98895351465657,114.76608727200765,110.95209965242066,121.50456926651825,-0.639660223123395,0.41221212172957156,-0.4149765919201909,0.3507512149552472,-107.48137104492876,32.622275587109954,-213.3089905130634,-16952051779.53275,0.40916520104627147,0.17220557184169663,0.16991883330079513,0.12302641479258203
625,625,1996-05-30,671.7000122070312,2535.780029296875,3746.699951171875,21886.349609375,143.79603083325952,114.19192585507439,110.09991040763664,120.75887119876208,0.5644333347192498,-0.7680695069797405,-0.5002883957980098,-0.6137201853870122,94.84108357224403,-60.784663540745335,-257.1615236880571,29661526224.941242,0.31858498934229273,0.25028847897014606,0.5899307675521017,0.3766524659514687
626,626,1996-05-31,669.1199951171875,2523.81005859375,3747.800048828125,21956.189453125,143.24370656608775,113.65289092648175,110.13223769697693,121.14421552737207,-0.384102581949719,0.029361776245417914,-0.472042943979023,0.31910229433640414,-64.54031474439354,2.3236773154222528,-242.64261122069516,-15422437288.630974,0.14753479346044063,0.22282454096038307,0.0008621139042859877,0.1018262742507571
627,627,1996-06-03,667.6799926757812,2543.989990234375,3739.199951171875,21588.51953125,142.93543407583715,114.56163901623843,109.87951663743387,119.11558098886759,-0.21520840087195792,-0.22947055723901988,0.7995820276534227,-1.6745616203574398,-36.16121989446039,-18.16019316940424,411.0064000524203,80932735471.60641,0.046314655805865336,0.6393314189463588,0.052656736639586296,2.8041566203741346
628,628,1996-06-04,672.5599975585938,2550.419921875,3755.199951171875,21858.119140625,143.98013456689367,114.8511934210671,110.34969001386644,120.60310837853363,0.730889787973954,0.42789902141995295,0.25274987972860874,1.2488100862346974,122.81056982188443,33.863729532374315,129.92015151441728,-60355865759.02364,0.5341998821646115,0.06388250170282618,0.18309757253215336,1.5595266314815122
629,629,1996-06-05,678.4400024414062,2551.030029296875,3753.39990234375,21881.4296875,145.23891281322787,114.87866794199458,110.2967940741625,120.73172531913323,0.8742721696439082,-0.04793483307229396,0.023921841914820163,0.10664479740929433,146.9029463813083,-3.793540394070136,12.296462136458883,-5154217720.759151,0.7643518266138666,0.0005722545205976468,0.0022977482216686865,0.011373112814469432
630,630,1996-06-06,673.030029296875,2551.030029296875,3760.300048828125,21804.4609375,144.08075790633418,114.87866794199458,110.49956064731488,120.30704694501102,-0.7974136438097856,0.18383723194712598,0.0,-0.3517537523792136,-133.98849674927297,14.548793030606227,0.0,17000505115.108978,0.6358685193339997,0.0,0.0337961278499814,0.1237307023128571
631,631,1996-06-07,673.3099975585938,2536.030029296875,3706.800048828125,21751.810546875,144.1406928833519,114.20318392207307,108.9274184198685,120.01654616011423,0.041598182775182124,-1.4227588039596228,-0.5879977823755489,-0.24146614207026795,6.989694772362955,-112.5964699970833,-302.2464780533219,11670227696.57824,0.0017304088101974587,0.34574139207856336,2.0242426142446166,0.058305897766298825
632,632,1996-06-10,672.1599731445312,2552.9599609375,3728.800048828125,21719.150390625,143.8944982382749,114.96557714084676,109.57390681246326,119.83634234941407,-0.17080162454626846,0.5935038229794687,0.667576150323379,-0.150149138986011,-28.699600380486228,46.96961650230525,343.1518728735034,7256813006.529088,0.029173194947644455,0.4456579164805827,0.35224678789124453,0.022544763938240453
633,633,1996-06-11,670.969970703125,2571.10009765625,3755.699951171875,21817.619140625,143.63974518684373,115.78246863902723,110.36438293187996,120.37964789422087,-0.1770415509628087,0.7214090858050692,0.7105531225052308,0.45337293691978253,-29.748088034125807,57.09197951150333,365.2431780938757,-21911831447.49364,0.0313437107673168,0.5048857399019336,0.5204310690821058,0.20554701993126911
634,634,1996-06-12,669.0399780273438,2569.89990234375,3769.199951171875,22104.80078125,143.22657668711014,115.72842112206867,110.76109171824493,121.96418489421599,-0.2876421837118559,0.3594536351549493,-0.04668022507541281,1.3162831323343616,-48.332185054038604,28.44699349842532,-23.994875570412667,-63616885314.86537,0.08273802585052506,0.0021790434130911987,0.1292069158261074,1.7326012844679584
635,635,1996-06-13,667.9199829101562,2566.1298828125,3761.699951171875,22082.400390625,142.98681064650071,115.55864859219191,110.54069794804218,121.84058977970096,-0.16740331728603008,-0.19898121875089325,-0.1466990806844981,-0.10133722012097834,-28.12858672298717,-15.747281102541574,-75.40722397185938,4897698794.582703,0.028023870638367258,0.021520620273676884,0.03959352541559083,0.010269232181847618
636,636,1996-06-14,665.8499755859375,2544.89990234375,3753.60009765625,22289.390625,142.54366812512365,114.6026144221995,110.30267698078902,122.98266726171218,-0.30991845987293765,-0.21532428478516774,-0.8273151180283156,0.9373538687527772,-52.07524209747564,-17.040663747067992,-425.2619451285958,-45302968717.784355,0.09604945177001366,0.6844503045182058,0.04636454761824402,0.8786322752657986
637,637,1996-06-17,665.1599731445312,2549.7099609375,3761.5,22245.380859375,142.39595395133128,114.81922226986379,110.53482221569205,122.7398414952664,-0.10362731346488241,0.2104620134862678,0.18900777155597126,-0.19744714588849632,-17.41237820685869,16.655865857994588,97.15501484835988,9542758793.436571,0.010738620095949,0.03572393770855422,0.04429425912069397,0.03898537541951315
638,638,1996-06-18,662.0599975585938,2555.81005859375,3756.39990234375,22332.400390625,141.73231813647823,115.09392350231428,110.38495158224362,123.21997548533542,-0.46604962882573764,-0.1355868046324593,0.23924672804773728,0.39118022658319873,-78.30978271023021,-10.730276654982736,122.9791728908678,-18906014215.841946,0.21720225652860783,0.05723899688154796,0.01838378159044069,0.1530219696696827
639,639,1996-06-19,661.9600219726562,2546.0400390625,3753.199951171875,22367.359375,141.71091558745817,114.65395736446892,110.29091834181237,123.41286317865693,-0.015100683670088433,-0.08518664825537536,-0.3822670428265562,0.15653930506134284,-2.537350496255221,-6.7416317212335235,-196.49541347486127,-7565654206.701866,0.00022803064730407546,0.14612809203136015,0.007256765040985046,0.024504554029088157
640,640,1996-06-20,662.0999755859375,2532.219970703125,3727.5,22437.30078125,141.7408765428324,114.03160834240356,109.53570379077284,123.79876788270983,0.02114230597554112,-0.6847477221097908,-0.5428064031728241,0.3126940694133662,3.552517338356034,-54.19061624045608,-279.01690880696736,-15112723291.70557,0.0004469971019634018,0.2946387913254185,0.46887944293454736,0.09777758104629107
641,641,1996-06-21,666.8400268554688,2547.780029296875,3722.300048828125,22530.650390625,142.7556160785147,114.73231307101157,109.38289887828753,124.31382834990359,0.7159117118734848,-0.13950237885647088,0.6144828953951187,0.4160465213044251,120.29382093443148,-11.040153377873697,315.8605296211157,-20107819648.59899,0.5125295791976235,0.37758922873316836,0.019460913706614333,0.17309470788951345
642,642,1996-06-24,668.8499755859375,2562.18994140625,3710.800048828125,22603.19921875,143.18590139095662,115.381224094902,109.04496176397664,124.7141196158082,0.3014139298066487,-0.30894876418198214,0.5655869793967927,0.3220005941559023,50.646235699119025,-24.450061500262375,290.7267300649702,-15562514148.005537,0.09085035708148737,0.319888631263188,0.095449338889574,0.10368438263675411
643,643,1996-06-25,668.47998046875,2578.360107421875,3679.5,22597.169921875,143.10669366680543,116.1094033444375,108.12518366147516,124.6808527121106,-0.055318102817203396,-0.8434851896159001,0.6311072319154398,-0.02667452875431131,-9.295037145447758,-66.7530255875093,324.40588015448066,1289198649.5197623,0.0030600924992946863,0.39829633817596877,0.711467265101371,0.000711530484264581
