date,spx,dax,ftse,nikkei,spx_ret,dax_ret,ftse_ret,nikkei_ret,spx_norm,dax_norm,ftse_norm,nikkei_norm
1999-08-24,1363.5,5324.02,6315.06,18095.41,0.24113746305745032,0.4156937596897947,-0.11151340296197132,-0.7576143976351202,290.1681208767823,239.2871749926965,183.25875367819896,99.8421982773128
1999-08-25,1381.79,5400.32,6369.49,17855.16,1.3414008067473393,1.433127599069861,0.8619078836938909,-1.327684755415881,294.06043839114704,242.7164655385514,184.83827532371052,98.51660863131283
1999-08-26,1362.01,5389.34,6383.93,17666.29,-1.4314765630088488,-0.20332128466460375,0.2267057488119173,-1.0577894569412938,289.8510321344967,242.2229713027259,185.25731431987418,97.4745103318747
1999-08-27,1348.27,5420.36,6375.16,17599.37,-1.0088031659092112,0.5755806833489752,-0.1373761930346995,-0.3788005291433638,286.9270057459034,243.61715993617835,185.0028148741432,97.10527637095765
1999-08-30,1324.02,5392.53,6375.16,17918.97,-1.798601170388725,-0.5134345320237044,0.0,1.8159740945272507,281.76633326239624,242.3663453111306,185.0028148741432,98.86868303427333
1999-08-31,1320.41,5270.77,6246.44,17436.56,-0.27265449162399147,-2.25793829612444,-2.01908657978781,-2.6921748292452086,280.9980846988721,236.89386278343338,181.2674478667897,96.2069652356184
1999-09-01,1320.41,5270.77,6246.44,17436.56,0.0,0.0,0.0,0.0,280.9980846988721,236.89386278343338,181.2674478667897,96.2069652356184
1999-09-02,1216.14,4850.67,5779.91,13902.66,-7.896789633522916,-7.970372450325103,-7.468734190995185,-20.267185729295235,258.80825707597364,218.01253960763165,167.7290640108184,76.70852090679712
1999-09-03,1279.84,4790.47,6237.7,15096.7,5.237883796273435,-1.2410656672171005,7.920365542023999,8.588572258833938,272.36433283677377,215.30686082833324,181.01381900069066,83.29668765356011
1999-09-06,1318.64,5250.63,6453.01,16622.5,3.0316289536192143,9.605738059104851,3.451753050002404,10.106844542184712,280.6214088103852,235.98867390278437,187.26196901897282,91.71535438349461
