,Date,spx,dax,ftse,nikkei,spx_ret,dax_ret,ftse_ret,nikkei_ret,spx_norm,dax_norm,ftse_norm,nikkei_norm,spx_ret_norm,ftse_ret_norm,dax_ret_norm,nikkei_ret_norm,spx_vol,dax_vol,ftse_vol,nikkei_vol
271,1995-01-20,464.7799987792969,2050.860107421875,2995.0,18840.220703125,-0.4647207133538389,-1.3819960033068623,-1.1094266847000434,-1.2346547413430775,99.49905883662643,92.354881977198,88.01057890096973,103.95172451770802,-78.08648657306375,-87.79951181474968,-710.3826531381078,-inf,0.2159653414201009,1.909912953156141,1.2308275687245294,1.5243723303209415
272,1995-01-23,465.82000732421875,2013.030029296875,2954.199951171875,17785.490234375,0.2237636188418879,-1.8445957375686661,-1.362272081072624,-5.598291471049766,99.7217015313929,90.65130776081006,86.81163535621144,98.13220399002402,37.59874332292423,-107.80957888116572,-948.1712037414017,-inf,0.050070157117217684,3.4025334350564913,1.855785222869938,31.340867394828553
273,1995-01-24,465.8599853515625,2027.6700439453125,2969.0,18060.73046875,0.008582290737879639,0.7272626058912435,0.5009833143573728,1.547554949275609,99.73025993774706,91.31058082390581,87.24654716426681,99.65085376970487,1.442072434501766,39.64758648274731,373.8322963778069,inf,7.365571430949464e-05,0.5289108979277222,0.2509842812644982,2.394926321027433
274,1995-01-25,467.44000244140625,2026.969970703125,2982.199951171875,18159.48046875,0.33916136597380575,-0.03452599422070213,0.44459249484254393,0.546766367898921,100.06850644964116,91.27905493804764,87.63443876496841,100.19571112344177,56.988893951130294,35.184843254631915,-17.74727808043261,inf,0.1150304321692178,0.0011920442769279567,0.19766248647031745,0.2989534610653782
275,1995-01-26,468.32000732421875,2040.7900390625,3007.300048828125,18070.83984375,0.1882604993616921,0.6818092304831325,0.8416638074984384,-0.4881231329967761,100.25689591958704,91.90140396011302,88.37202611895754,99.70663267917762,31.633195020623045,66.60888225388784,350.46805412295663,-inf,0.03544201561991367,0.4648638267720013,0.7083979648527684,0.23826419296658838
276,1995-01-27,470.3900146484375,2030.56005859375,3022.199951171875,18104.349609375,0.4420070233697393,-0.5012754998279689,0.4954577894399348,0.18543557418881917,100.70003844096411,91.44072473806304,88.80987220604982,99.8915242459906,74.26993138840668,39.21029901079286,-257.66892137809947,inf,0.19537020870817726,0.2512771267277801,0.24547842111670676,0.03438635217473706
277,1995-01-30,468.510009765625,2026.6800537109375,2995.89990234375,18752.880859375,-0.39966938588558154,-0.191080528073595,-0.8702286166713424,3.5821847456158906,100.29757121574056,91.26599931835922,88.03702328368351,103.46982318969367,-67.15598689240412,-68.86948796587372,-98.22046675326811,inf,0.1597356180141579,0.036511768208883924,0.7572978452737182,12.832047551723184
278,1995-01-31,470.4200134277344,2024.8199462890625,2991.60009765625,18649.8203125,0.40767616962225084,-0.0917810099561156,-0.14352297565536354,-0.5495718105811842,100.70646051229706,91.18223446243829,87.91066992818837,102.90118220898489,68.50135754789889,-11.358341538493038,-47.17787692895619,-inf,0.16619985927787023,0.008423753788564591,0.020598844540970076,0.302029174985481
279,1995-02-01,470.3999938964844,2047.43994140625,3017.300048828125,18739.470703125,-0.0042556716718156196,1.1171361265303492,0.8590704082410472,0.4807037768879363,100.70217477598536,92.2008641445958,88.66588447922788,103.39583207832584,-0.7150756127531948,67.98643254056454,574.2376414853106,inf,1.8110741378293952e-05,1.2479931251992324,0.7380019663154395,0.23107612111432685
280,1995-02-02,472.7900085449219,2038.4599609375,3034.699951171875,18604.30078125,0.5080813519235283,-0.438595549844667,0.5766712644474259,-0.7213113113832992,101.21382374700359,91.79647525753929,89.17719515638774,102.65002624604598,85.37232476399782,45.63749564917638,-225.4497622335306,-inf,0.25814666017244026,0.19236605634354575,0.332549747239393,0.5202900079294948
281,1995-02-03,478.6499938964844,2077.93994140625,3059.699951171875,18538.970703125,1.2394477983148189,1.93675525765995,0.8238046726941173,-0.3511557832414858,102.46831625702606,93.57434831843618,89.91184105706363,102.28956474238409,208.26298695111527,65.1955186320482,995.5436449335085,-inf,1.536230844747452,3.7510209280734594,0.6786541387526617,0.12331038410394134
282,1995-02-06,481.1400146484375,2085.080078125,3062.0,18667.23046875,0.5202174414926652,0.34361612559012933,0.07517236542242678,0.6918386553325773,103.00137431019898,93.8958848686742,89.97942991478108,102.99724349164335,87.41153792570674,5.949106035639943,176.627815401542,inf,0.2706261864331746,0.11807204176557153,0.005650884523202865,0.47864072501238863
283,1995-02-07,480.80999755859375,2093.010009765625,3072.699951171875,18500.55078125,-0.06859065548412424,0.3803178460059842,0.34944321266736633,-0.8928999284550043,102.93072499240196,94.25298767549502,90.29385692541507,102.07758117819583,-11.525208893412595,27.654773318768466,195.4934745361284,-inf,0.004704678019741823,0.1446416639906315,0.12211055887929022,0.7972702822349519
284,1995-02-08,481.19000244140625,2087.780029296875,3072.5,18290.25,0.07903431391651505,-0.24987842601553734,-0.006507344519557368,-1.1367271371354848,103.01207558470902,94.01746979341887,90.28798119306495,100.91723761201177,13.280044799195903,-0.514988218605899,-128.4441480367126,-inf,0.006246422776254245,0.062439227788002365,4.234553269621331e-05,1.2921485843002352
285,1995-02-09,480.19000244140625,2117.800048828125,3099.0,18099.55078125,-0.20781811652909044,1.4378918808491514,0.8624898291293759,-1.0426277319883548,102.79799782943135,95.36933935815826,91.06670584778136,99.86504650631235,-34.919438922517664,68.25704391923854,739.1146188550573,-inf,0.043188369557698614,2.0675330610119103,0.74388870535162,1.0870725875111806
286,1995-02-10,481.4599914550781,2127.56005859375,3109.89990234375,18291.349609375,0.26447635461275265,0.4608560553686747,0.3517232121248881,1.0596883339430319,103.06987422670552,95.80885473355542,91.3870085907655,100.92330475382654,44.43965745429788,27.835211415371873,236.89225333806445,inf,0.0699477421492505,0.21238830376997495,0.12370921794744903,1.1229393650949586
287,1995-02-13,481.6499938964844,2118.9599609375,3081.10009765625,18313.859375,0.03946380691612905,-0.4042234963714475,-0.9260685421352388,0.12306235518817488,103.11054952285905,95.421572831118,90.540702252608,101.04750334959031,6.6310580534248,-73.2886336950281,-207.78161378615127,inf,0.0015573920563135152,0.16339663501875762,0.8576029447324865,0.015144343264460512
288,1995-02-14,482.54998779296875,2128.330078125,3071.300048828125,18138.470703125,0.18685641189435387,0.44220359800259956,-0.3180697970695534,-0.9576827488061879,103.30321819598203,95.84353045944786,90.25271962468777,100.07978884191195,31.39726781958556,-25.171895800643885,227.3043948207083,-inf,0.03491531866603243,0.19554402208644467,0.10116839580786688,0.9171562473609759
289,1995-02-15,484.5400085449219,2135.489990234375,3074.89990234375,17991.0,0.41239680909637144,0.3364098540430627,0.11720943764510494,-0.8130272145798534,103.72923737151612,96.16595754037623,90.35850432981928,99.26611292233315,69.29456116529721,9.275900379216068,172.9236004193065,-inf,0.17007112815286904,0.11317158989727473,0.013738052273081744,0.6610132516474749
290,1995-02-16,485.2200012207031,2112.06005859375,3051.10009765625,17780.58984375,0.14033777681707882,-1.0971688815105907,-0.77400258360798,-1.1695300775387718,103.87480867715261,95.11085457963652,89.65912717179695,98.10516587490287,23.58079511032391,-61.25420446553368,-563.9739471916556,-inf,0.019694691601960225,1.2037795545552006,0.5990799994318281,1.3678006022678455
291,1995-02-17,481.9700012207031,2119.2900390625,3044.199951171875,18020.509765625,-0.6697992646271245,0.3423188862140547,-0.2261527404386232,1.3493361242981061,103.17905597250021,95.43643699770222,89.45636059864458,99.42893431785551,-112.54559949887776,-17.89762269099145,175.9609999060369,inf,0.4486310548950367,0.11718221985883093,0.051145062007899283,1.820707976335834
292,1995-02-20,481.9700012207031,2101.97998046875,3018.60009765625,17956.48046875,0.0,-0.8167857289324787,-0.8409386349858661,-0.35531346064993086,103.17905597250021,94.65692580010334,88.7040875009183,99.0756499304434,0.0,-66.5514924385324,-419.84955946038394,-inf,0.0,0.6671389269877606,0.7071777878118917,0.12624765531902996
293,1995-02-21,482.7200012207031,2101.820068359375,3023.39990234375,18096.25,0.155611344710338,-0.007607689457600486,0.15900763705753995,0.7783793237947867,103.33961428895846,94.64972459513837,88.84513377442698,99.84683430441727,26.14719514360942,12.583790439693182,-3.9105544503814627,inf,0.024214890602559637,5.787693888328558e-05,0.02528342864262235,0.6058743717112294
294,1995-02-22,485.07000732421875,2096.260009765625,3019.5,18106.650390625,0.4868259234282579,-0.2645354222966412,-0.12899062213790335,0.05747262899771233,103.8426983204879,94.39934254647801,88.7305318836321,99.90421890506302,81.80079957885526,-10.208257840355438,-135.97823343225045,inf,0.23699947972177604,0.06997898964966229,0.01663858059952336,0.0033031030839086838
295,1995-02-23,486.9100036621094,2126.43994140625,3049.300048828125,17830.01953125,0.37932593442346896,1.4397036388629658,0.9869199810605966,-1.5277859427728857,104.23660060622262,95.75841331618237,89.60623123209301,98.37789629239441,63.73770015846097,78.10438826858605,740.0459105965805,-inf,0.14388816452623787,2.072746567755265,0.9740110490166485,2.334129886934435
296,1995-02-24,488.1099853515625,2117.590087890625,3037.699951171875,17472.939453125,0.24644835399312282,-0.41618168203577666,-0.3804183737414757,-2.0026903363687287,104.49348999267505,95.35988434095232,89.26535266446885,96.4076916702238,41.41043326034195,-30.10613315912181,-213.92843884108453,-inf,0.06073679118591958,0.1732071924621283,0.14471813908010908,4.010768583384692
297,1995-02-27,483.80999755859375,2106.050048828125,3025.300048828125,16808.69921875,-0.8809464919820598,-0.5449609501145369,-0.40820036682577276,-3.801536863084598,103.57295825823496,94.84021020921975,88.90097116744417,92.74271773253129,-148.02442508166817,-32.30478716995583,-280.1244031623072,-inf,0.7760667217354973,0.2969824371497388,0.16662753947669545,14.451682521391087
298,1995-02-28,487.3900146484375,2097.85009765625,3009.300048828125,17053.4296875,0.739963437694402,-0.3893521512671416,-0.528873161067045,1.4559750612766376,104.33936028068437,94.47094781050387,88.4307977910116,94.09302857386713,124.33520474067481,-41.85477597932904,-200.1373474021309,inf,0.5475458891245171,0.15159509769635113,0.2797068204970485,2.1198633790595083
299,1995-03-01,485.6499938964844,2127.2099609375,3041.199951171875,16618.7109375,-0.35700787863046646,1.399521506043322,1.0600439247050897,-2.5491573130221656,103.96686054396969,95.79308904207483,89.36820309056347,91.69444925493235,-59.98762293156048,83.89138315747464,719.3912270426017,-inf,0.12745462540422586,1.9586604458777679,1.1236931223041697,6.498203006534387
300,1995-03-02,485.1300048828125,2116.639892578125,3038.199951171875,16963.1796875,-0.10707073411035939,-0.4968982166065339,-0.09864527318711458,2.072776590768588,103.85554246315378,95.31709489099245,89.28004558248237,93.59507033412278,-17.99097221455406,-7.806741038505812,-255.41888153649404,inf,0.011464142102931278,0.24690783766675387,0.009730889922160467,4.296402795238251
301,1995-03-03,485.4200134277344,2094.159912109375,3025.10009765625,17039.619140625,0.05977955228555487,-1.0620597555387024,-0.431171539930153,0.4506198397540295,103.917626841462,94.30477038600658,88.89509543509403,94.01682829008007,10.044689364503409,-34.12271512516991,-545.9269239024485,inf,0.0035735948714613885,1.1279709243349283,0.18590889684573952,0.20305823997994726
302,1995-03-06,485.6300048828125,2069.949951171875,3001.89990234375,17040.720703125,0.04325974398857735,-1.15607030759719,-0.7669232277792926,0.006464713154152868,103.96258134079261,93.21454093692624,88.21333829984572,94.02290620834565,7.268884990599086,-60.69394753797499,-594.2508446912831,inf,0.001871405449957254,1.3364985561078617,0.5881712373074086,4.179251616547712e-05
303,1995-03-07,482.1199951171875,2041.260009765625,2977.0,16955.279296875,-0.7227744847586148,-1.3860210190109967,-0.829471439880769,-0.5013954969306678,103.21116632916494,91.92256780676583,87.4816338524831,93.55147959053366,-121.44696476329426,-65.64398395149415,-712.4516181191813,-inf,0.5224029558180812,1.9210542651402818,0.6880228695778762,0.2513974443423513
304,1995-03-08,483.1400146484375,2029.3800048828125,2992.10009765625,16621.310546875,0.21156963859216837,-0.5819937110400963,0.507225315964055,-1.9697036194594175,103.42952982075431,91.38758424310389,87.92536284620188,91.70879271098109,35.54980285678896,40.14157558664358,-299.1602259117068,-inf,0.04476171197402074,0.3387166796902232,0.2572775211548354,3.87973234851153
